street_name,city,state,latitude,longitude,price,bedroom_number,bathroom_number,square_meter,population
Vista Dr,Juneau,AK,58.2858,-134.41408,450000,3,2,123,"32,099"
David St,Juneau,AK,58.286762,-134.41832,220000,1,1,70,"32,099"
Riverside Dr,Juneau,AK,58.397495,-134.5834,329900,2,2,113,"32,099"
John St,Juneau,AK,58.288048,-134.42033,229000,2,2,108,"32,099"
Glacier Hwy,Juneau,AK,58.384464,-134.65596,279900,2,2,72,"32,099"
Mendenhall Loop Rd APT 35,Juneau,AK,58.38088,-134.57686,205000,2,2,94,"32,099"
Cinema Dr,Juneau,AK,58.38113,-134.58157,320000,2,2,111,"32,099"
Mendenhall Loop Rd,Juneau,AK,58.38088,-134.57686,205000,2,2,94,"32,099"
Sunset Dr,Juneau,AK,58.369877,-134.5924,460000,3,3,140,"32,099"
4 Douglas Hwy,Juneau,AK,58.29315,-134.42781,220000,2,2,79,"32,099"
Glacier Ave APT 304,Juneau,AK,58.30366,-134.42325,189500+A12:G12,1,1,67,"32,099"
N Glacier Ave,Juneau,AK,58.30366,-134.42325,174500,1,1,67,"32,099"
Vista Dr,Juneau,AK,58.285557,-134.41348,379900,3,2,123,"32,099"
Mendenhall Loop Rd,Juneau,AK,58.38773,-134.64381,589900,3,3,234,"32,099"
Denali Ave APT 32,Ketchikan,AK,55.358498,-131.6823,165000,3,1,98,"8,230"
Denali Ave,Ketchikan,AK,55.358498,-131.6823,165000,3,1,98,"8,230"
Austin St,Ketchikan,AK,55.34969,-131.67145,85000,2,1,63,"8,230"
Tongass Ave,Ketchikan,AK,55.350777,-131.68048,309000,2,2,97,"8,230"
Hemlock Ave,Ketchikan,AK,55.349667,-131.67413,70000,1,1,60,"8,230"
B St APT 101,Fairbanks,AK,64.841385,-147.68657,329000,1,2,125,"64,160"
28th Ave APT 2,Fairbanks,AK,64.8214,-147.73372,149900,2,2,79,"64,160"
Marika Rd APT 9,Fairbanks,AK,64.854095,-147.75545,129900,2,2,118,"64,160"
Harvest Way APT C,Sitka,AK,57.04989,-135.3064,239000,3,2,119,"8,569"
Dartmouth Dr #32,Fairbanks,AK,64.84543,-147.86389,225000,3,2,116,"64,160"
E Danna Ave #D,Wasilla,AK,61.586685,-149.44766,140000,2,1,91,"10,469"
S Wasilla St UNIT 48,Wasilla,AK,61.579014,-149.42755,205000,3,2,141,"10,469"
S Wasilla St UNIT 7,Wasilla,AK,61.579014,-149.42755,235000,3,2,141,"10,469"
E Neil Cir APT 1,Wasilla,AK,61.571148,-149.40866,160000,2,1,84,"10,469"
Kenai St #614,Valdez,AK,60.77254,-148.6855,64500,3,1,86,"3,865"
Vista Ridge Loop #68,Eagle River,AK,61.331596,-149.56317,310000,3,2,126,"1,536"
S Ragosa Cir,Palmer,AK,61.588257,-149.10396,225000,1,1,104,"7,359"
Vista Ridge Loop #35,Eagle River,AK,61.33092,-149.56358,345000,3,3,158,"1,536"
E Danna Ave APT B,Wasilla,AK,61.586685,-149.44766,128000,2,1,91,"10,469"
Trailhead Ave #26,Eagle River,AK,61.30037,-149.49196,415000,4,4,215,"1,536"
Galloway Loop #72,Eagle River,AK,61.32674,-149.57861,274900,3,3,141,"1,536"
Wendy Ln,Soldotna,AK,60.463234,-151.19035,216900,2,1,84,"4,705"
Kathy Cir W #A,Wasilla,AK,61.614475,-149.5043,195000,3,2,123,"10,469"
Eagle Place Loop #17,Eagle River,AK,61.30092,-149.50879,340000,3,2,135,"1,536"
Vista Ridge Loop,Eagle River,AK,61.331844,-149.5637,271500,3,2,126,"1,536"
Galloway Loop #70,Eagle River,AK,61.326828,-149.57849,300000,2,3,141,"1,536"
Eagle Place Loop #29,Eagle River,AK,61.300945,-149.50879,355000,3,2,137,"1,536"
Hannah Jane Pl #5,Eagle River,AK,61.320084,-149.56805,315000,4,3,145,"1,536"
Flintwood Pl,Eagle River,AK,61.34539,-149.55745,249000,3,2,142,"1,536"
Trailhead Ave,Eagle River,AK,61.30028,-149.4945,365000,4,4,215,"1,536"
Eagle Place Loop #34,Eagle River,AK,61.300945,-149.50879,287000,3,2,135,"1,536"
Rivers Edge Ln #23,Eagle River,AK,61.311108,-149.57239,249900,2,3,134,"1,536"
Horseshoe Dr #2,Eagle River,AK,61.33011,-149.5625,239900,2,2,104,"1,536"
Trailhead Ave,Eagle River,AK,61.30016,-149.498,385000,3,4,215,"1,536"
Hunterwood Ln #109,Eagle River,AK,61.344578,-149.55617,252000,3,2,141,"1,536"
W London Rose Cir,Soldotna,AK,60.48638,-151.08566,364900,2,2,144,"4,705"
Business Blvd APT 307C,Eagle River,AK,61.327,-149.57596,149000,1,1,51,"1,536"
Fire Creek Trail Dr #34,Eagle River,AK,61.345673,-149.55534,239000,3,2,126,"1,536"
Galena Bay Loop #21,Eagle River,AK,61.326187,-149.58006,263000,3,2,144,"1,536"
Horseshoe Dr APT 7,Eagle River,AK,61.32997,-149.56375,225000,2,2,111,"1,536"
E Melissa Rose Cir #4A,Palmer,AK,61.58838,-149.10814,279900,2,2,137,"7,359"
Fire Creek Trail Dr,Eagle River,AK,61.34539,-149.55745,245000,3,2,141,"1,536"
Wood River Way,Eagle River,AK,61.32285,-149.57558,249900,2,2,101,"1,536"
Vista Ridge Loop #49,Eagle River,AK,61.331596,-149.56317,339000,3,3,146,"1,536"
Business Blvd #A109,Eagle River,AK,61.327,-149.57596,157000,1,1,51,"1,536"
Eagles Nest Ct #15,Eagle River,AK,61.304432,-149.50742,499000,4,3,217,"1,536"
River Heights Loop,Eagle River,AK,61.312065,-149.57191,250000,2,3,134,"1,536"
Eagles Nest Ct #8B,Eagle River,AK,61.30422,-149.5055,445000,3,3,167,"1,536"
Conquistador Dr #8B,Eagle River,AK,61.323196,-149.5672,370900,3,3,156,"1,536"
Conquistador Dr #8A,Eagle River,AK,61.323257,-149.5672,367900,3,3,152,"1,536"
Rivers Edge Ln #22,Eagle River,AK,61.311108,-149.57224,239000,2,3,134,"1,536"
Sherman St #17,Chugiak,AK,61.396828,-149.45576,383000,3,2,148,"8,872"
Foxridge Way #3-F,Anchorage,AK,61.15306,-149.88464,225000,2,2,70,"248,902"
Canton Loop #170,Anchorage,AK,61.133976,-149.91586,230000,3,2,110,"248,902"
Highlander Cir,Anchorage,AK,61.149364,-149.89096,365000,3,3,192,"248,902"
Stonegate Cir #104,Anchorage,AK,61.13296,-149.9164,235000,2,1,108,"248,902"
Molanary Dr UNIT 15,Anchorage,AK,61.142616,-149.94997,125000,2,1,78,"248,902"
W International Airport Rd #E-103,Anchorage,AK,61.174423,-149.93524,178000,2,2,95,"248,902"
Commons Pl,Anchorage,AK,61.13638,-149.942,265000,3,2,124,"248,902"
Huntsmen Cir APT F,Anchorage,AK,61.154243,-149.88481,180000,2,2,69,"248,902"
W Dimond Blvd UNIT 309,Anchorage,AK,61.13734,-149.9458,159000,2,1,78,"248,902"
Roald Amundsen Ave #A,Anchorage,AK,61.18503,-149.95459,424900,3,3,158,"248,902"
Huntsmen Cir #14-D,Anchorage,AK,61.155445,-149.88478,170000,2,2,69,"248,902"
W International Airport Rd #E102,Anchorage,AK,61.174423,-149.93524,190000,2,2,95,"248,902"
Stonegate Cir,Anchorage,AK,61.133633,-149.91519,255000,3,2,111,"248,902"
Discovery View Dr APT 105,Anchorage,AK,61.11734,-149.9321,290000,2,2,96,"248,902"
Constellation Ave UNIT 52,Anchorage,AK,61.18097,-149.95001,205000,2,2,80,"248,902"
McRae Rd,Anchorage,AK,61.185745,-149.92569,99000,2,1,90,"248,902"
Canton Loop #162,Anchorage,AK,61.134064,-149.91682,250000,3,2,108,"248,902"
Discovery Park Dr,Anchorage,AK,61.11576,-149.93002,410000,3,3,198,"248,902"
Discovery Park Dr #12B,Anchorage,AK,61.11718,-149.93318,415000,3,3,177,"248,902"
Moorland St #7B,Anchorage,AK,61.143818,-149.9552,325000,2,2,135,"248,902"
Jewel Lake Rd UNIT 5,Anchorage,AK,61.143543,-149.9516,155000,2,2,99,"248,902"
Huntsmen Cir #8-F,Jeffersontown,AK,61.153572,-149.88489,170000,2,2,69,"27,933"
Harbor Landing Cir,Anchorage,AK,61.126965,-149.9233,410000,3,3,199,"248,902"
W 76th Ave APT 205,Anchorage,AK,61.151814,-149.88902,165000,2,1,84,"248,902"
W Dimond Blvd UNIT 403,Anchorage,AK,61.13734,-149.9458,168000,2,1,78,"248,902"
W Tanya May Ln #3B,Wasilla,AK,61.531242,-149.83794,425000,2,3,116,"10,469"
W Compass Dr #20,Wasilla,AK,61.522972,-149.61441,138000,3,2,120,"10,469"
W 53rd Ave #1A,Anchorage,AK,61.17245,-149.89838,294900,3,2,179,"248,902"
Weimer Rd APT 16,Anchorage,AK,61.155804,-149.94989,110000,2,1,94,"248,902"
N Star St APT 1,Anchorage,AK,61.20083,-149.9007,259900,2,2,125,"248,902"
Potlatch Cir #34,Anchorage,AK,61.2017,-149.90161,369900,3,2,169,"248,902"
Eastridge Dr APT 102,Anchorage,AK,61.20458,-149.84189,122500,2,1,84,"248,902"
W 23rd Ave APT 12,Anchorage,AK,61.19971,-149.89903,125000,2,1,78,"248,902"
Nelchina St APT C5,Anchorage,AK,61.20643,-149.85587,189000,2,2,114,"248,902"
Denali St UNIT 134,Anchorage,AK,61.21099,-149.87767,160000,2,2,84,"248,902"
E 7th Ave APT 304,Anchorage,AK,61.21532,-149.87993,509900,2,3,132,"248,902"
E 7th Ave APT 210,Anchorage,AK,61.215862,-149.88034,128000,1,1,67,"248,902"
Denali St APT 309,Anchorage,AK,61.21067,-149.87686,165000,1,1,62,"248,902"
Eastridge Dr APT 303,Anchorage,AK,61.205162,-149.84402,140000,2,1,81,"248,902"
Montclaire Ct #17-D,Anchorage,AK,61.190655,-149.8947,219900,3,2,126,"248,902"
Juneau St APT 6,Anchorage,AK,61.212906,-149.86458,150000,3,2,118,"248,902"
G St #3,Anchorage,AK,61.20658,-149.89494,519000,3,2,145,"248,902"
E 14th Ave APT 11,Anchorage,AK,61.208973,-149.87817,169900,2,2,91,"248,902"
Nelchina St APT A5,Anchorage,AK,61.206623,-149.85645,260000,3,3,157,"248,902"
E 11th Ave #315,Anchorage,AK,61.21133,-149.87868,110000,1,1,65,"248,902"
Denali St APT 338,Anchorage,AK,61.21099,-149.87767,172000,1,1,78,"248,902"
E 11th Ave UNIT 224,Anchorage,AK,61.211372,-149.87787,167000,2,2,86,"248,902"
Sitka St #14102,Anchorage,AK,61.2055,-149.84546,149000,2,1,80,"248,902"
Monticello Ct #8-G,Anchorage,AK,61.190582,-149.89128,217500,2,2,116,"248,902"
E 7th Ave APT 103,Anchorage,AK,61.21532,-149.87993,509900,2,3,132,"248,902"
W 22nd Ave #104,Anchorage,AK,61.20091,-149.88617,204900,2,2,92,"248,902"
E 17th Ave APT 11,Anchorage,AK,61.205196,-149.8551,150000,1,2,76,"248,902"
I St UNIT 503,Anchorage,AK,61.21068,-149.89989,225000,2,2,111,"248,902"
W 22nd Ave #201,Anchorage,AK,61.20091,-149.88585,216000,2,2,99,"248,902"
N Star St APT 10,Anchorage,AK,61.20083,-149.9007,260000,2,2,125,"248,902"
E 14th Ave APT 6,Anchorage,AK,61.208973,-149.87817,100700,2,1,70,"248,902"
Montpelier Ct #9-A,Anchorage,AK,61.1912,-149.89127,219900,2,2,116,"248,902"
Latouche St #2,Anchorage,AK,61.20855,-149.86044,355000,3,4,180,"248,902"
E 12th Ave APT 3,Anchorage,AK,61.210938,-149.8655,119000,3,3,122,"248,902"
I St UNIT 615,Anchorage,AK,61.21068,-149.89989,370000,2,2,104,"248,902"
Potlatch Cir #33,Anchorage,AK,61.2017,-149.90158,354900,3,2,169,"248,902"
E 12th Ave #245,Anchorage,AK,61.210808,-149.87889,135000,1,1,65,"248,902"
Top Rail Ln #B9,Anchorage,AK,61.22063,-149.89694,699900,2,3,158,"248,902"
Top Rail Ln #B7,Anchorage,AK,61.2207,-149.89656,702000,2,3,158,"248,902"
Top Rail Ln #B5,Anchorage,AK,61.221798,-149.88705,699900,2,3,158,"248,902"
Top Rail Ln #B8,Anchorage,AK,61.22066,-149.89677,702900,2,3,158,"248,902"
I St UNIT 213,Anchorage,AK,61.21036,-149.90125,345000,2,2,98,"248,902"
E 16th Ave APT 4,Anchorage,AK,61.20605,-149.8606,245900,2,2,172,"248,902"
