address,city,state,postcode,latitude,longitude,bedroom_number,bathroom_number,square_meter,price,household_number,household_mean_income,families_number,family_mean_income,non_family_number,non_family_mean_income,population,20to24,25to34,35to44,45to54,55to59,60to64,65to74,75to84,median_age
Vista Drive,Juneau,AK,99801,58.2858,-134.41408,3,2,123,450000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
David Street,Juneau,AK,99801,58.286762,-134.41832,1,1,70,220000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Riverside Drive,Juneau,AK,99801,58.397495,-134.5834,2,2,113,329900,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
John Street,Juneau,AK,99801,58.288048,-134.42033,2,2,108,229000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Glacier Highway,Juneau,AK,99801,58.384464,-134.65596,2,2,72,279900,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Mendenhall Loop Road and Cinema Drive,Juneau,AK,99801,58.38088,-134.57686,2,2,94,205000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Cinema Drive,Juneau,AK,99801,58.38113,-134.58157,2,2,111,320000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Sunset Drive,Juneau,AK,99801,58.369877,-134.5924,3,3,140,460000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
3rd Street,Juneau,AK,99801,58.29315,-134.42781,2,2,79,220000,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Glacier Avenue,Juneau,AK,99801,58.30366,-134.42325,1,1,67,189500,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Glacier Avenue,Juneau,AK,99801,58.30366,-134.42325,1,1,67,174500,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Vista Drive,Juneau,AK,99801,58.285557,-134.41348,3,2,123,379900,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Back Loop Road,Juneau,AK,99801,58.38773,-134.64381,3,3,234,589900,11850,105707,7006,124819,4844,72531,29976,1681,4683,4104,3999,2243,2039,2886,1017,38.7
Denali Avenue,Ketchikan,AK,99901,55.358498,-131.6823,3,1,98,165000,5299,95227,3501,109083,1798,59888,13942,818,1877,1817,1751,1121,1013,1499,533,40.3
