Code,NumberOfHouseholds,HouseholdMedianIncome,HouseholdMeanIncome,NumberOfFamilies,FamilyMedianIncome,FamilyMeanIncome,NonFamilyHousehold,NonFamilyHouseholdMediumIncome,NonFamilyHouseholdMeanIncome
99929,988,58542,74917,644,67976,86215,344,36250,48894
99927,0,0,0,0,0,0,0,0,0
99926,440,58000,69587,348,70147,75490,92,32083,42926
99925,365,63125,77633,217,80139,90028,148,21500,46980
99923,12,0,0,0,0,0,12,0,0
99922,128,38750,53080,87,44250,57791,41,33250,36307
99921,827,54549,72102,470,67000,82343,357,44922,53762
99919,264,47059,56944,168,58000,70369,96,26429,32581
99918,115,53942,71667,63,40375,60629,52,0,85040
99903,1,0,0,0,0,0,1,0,0
99901,5299,74678,95227,3501,91797,109083,1798,42289,59888
99841,62,44250,64290,27,75781,98596,35,39107,37829
99840,411,71875,80986,196,87500,101818,215,48583,58826
99836,31,49688,55261,24,44643,54421,7,0,0
99835,3572,81708,93666,2214,93977,112078,1358,46702,57398
99833,1204,68667,85919,790,76731,103247,414,33472,50442
99832,47,100250,87921,22,108571,100173,25,0,77140
99830,171,56250,69646,120,58333,79716,51,34688,44255
99829,271,63250,80696,163,70781,92131,108,42813,58509
99827,946,62134,73692,545,84191,83810,401,39250,57533
99826,185,64792,80472,98,86111,98490,87,35938,53587
99825,16,0,133731,7,0,0,9,0,0
99824,1028,72632,87108,482,96538,104777,546,62292,65426
99820,145,42250,66739,108,46042,59007,37,22813,88346
99801,11850,89004,105707,7006,106800,124819,4844,63947,72531
99791,36,93750,90239,31,58750,71710,5,88125,80180
99790,12,0,112742,9,0,0,3,0,0
99789,109,67361,86952,96,67500,84330,13,0,62108
99788,40,0,37430,17,23750,22359,23,48583,48048
99786,80,34750,51436,59,45288,51964,21,18250,37114
99785,127,42813,50568,114,30694,43404,13,0,26315
99784,61,51875,49272,38,54000,57613,23,0,33691
99783,66,28571,40450,48,28571,35969,18,20000,21517
99782,126,69167,73278,88,81667,86256,38,0,30055
99781,39,50938,48385,28,55833,56032,11,8125,20364
99780,675,52250,73453,470,63438,84974,205,23906,41905
99778,75,28958,36689,64,29643,37367,11,5417,5855
99777,67,37188,66400,38,75000,88834,29,15625,28069
99776,30,53750,61073,22,70833,75555,8,22500,21150
99775,113,45386,41632,47,0,0,66,46455,48530
99774,4,26250,22000,2,0,0,2,0,0
99773,40,60000,73068,33,49583,68464,7,28750,25857
99772,138,51111,60308,112,45833,52541,26,46250,45627
99771,76,60417,69468,67,61458,72503,9,0,19956
99770,155,33438,41066,125,37875,42952,30,6250,9987
99769,172,48000,56570,150,47813,54911,22,0,42309
99768,65,32188,47531,34,53750,58394,31,23750,34410
99767,17,51875,58935,10,0,60210,7,34375,30386
99766,165,59375,77131,136,61000,78389,29,20750,37072
99765,86,48077,54735,71,45250,54085,15,29063,38100
99764,85,64750,75378,66,115577,86314,19,0,32974
99763,96,65000,69005,81,67083,74989,15,15625,25567
99762,1419,84391,102943,932,96667,109716,487,57279,65382
99761,90,55000,70957,79,54688,70243,11,19375,60736
99760,224,55500,67050,143,73594,84785,81,21528,33304
99759,45,60250,77364,35,61094,80100,10,28333,33340
99758,51,0,55516,30,48750,64133,21,0,26548
99757,18,0,59111,7,58125,42257,11,0,69836
99756,22,0,102018,13,118125,92862,9,0,115244
99755,108,75938,71609,21,101875,116914,87,53295,60674
99754,36,18889,32722,9,0,66878,27,17917,19770
99753,82,29167,39737,63,22708,37495,19,18250,17837
99752,922,87000,104297,590,94167,108147,332,76250,90898
99751,32,38125,44513,23,55625,50565,9,26875,27744
99750,137,55938,69440,115,53542,70205,22,17500,35718
99749,78,54375,73224,70,53333,68344,8,0,27363
99748,71,28750,48111,41,56250,66639,30,18182,19913
99747,61,75625,93177,50,66667,76014,11,59375,106700
99746,84,40000,45732,57,37917,46060,27,27813,31893
99745,29,23125,25572,18,28750,31594,11,6250,9645
99744,61,103125,99367,27,119375,120296,34,74375,82176
99743,421,92969,101822,243,122708,135939,178,47500,54213
99742,126,45714,54507,100,46458,59434,26,0,14642
99741,192,76111,97988,135,82321,113028,57,55625,53867
99740,200,40833,55236,99,72083,73026,101,26042,35430
99739,55,58125,52358,47,41250,49806,8,0,20863
99738,75,41250,56997,21,0,94167,54,28500,42543
99737,1490,73456,81608,939,87072,94732,551,32228,55363
99736,36,40000,46558,27,48125,53896,9,15625,17378
99734,0,0,0,0,0,0,0,0,0
99733,17,27188,33071,6,0,18733,11,25625,30900
99732,9,0,0,9,0,0,0,0,0
99730,32,16094,18863,5,60938,53340,27,15703,12478
99729,114,30500,47996,31,85625,73942,83,21654,38145
99727,129,49063,74223,111,53750,80354,18,24167,29672
99726,16,77500,76644,2,0,0,14,0,76479
99724,47,27083,30345,13,42917,38831,34,15833,21312
99723,1360,87870,97428,958,92721,105658,402,54213,55926
99722,70,27500,34014,50,16765,30830,20,0,32425
99721,61,79063,83021,49,79583,79149,12,0,48783
99720,58,24375,39690,42,35000,46876,16,10000,14750
99714,466,63786,76659,330,63448,77693,136,65417,71659
99712,5413,89688,112780,3765,110893,131505,1648,56250,64833
99709,11969,77756,100803,7182,93958,117994,4787,55989,69731
99706,3,0,22733,1,0,0,2,0,0
99705,8350,85739,111632,5842,98676,121861,2508,58608,80545
99704,0,0,0,0,0,0,0,0,0
99703,1964,56792,72209,1954,56026,70940,10,0,0
99702,1011,71655,81929,789,70268,85872,222,62000,64469
99701,6903,64153,81161,3952,79828,92521,2951,42161,63219
99695,0,0,0,0,0,0,0,0,0
99694,525,53942,73527,328,69479,94600,197,26250,36558
99693,96,59167,68342,52,62500,76575,44,51250,55116
99692,62,71250,89669,38,56667,85463,24,90000,96329
99691,57,32083,43949,27,0,67441,30,0,19390
99690,30,48333,45697,26,48333,51119,4,0,0
99689,221,59517,72258,144,58571,72189,77,53375,57312
99688,1054,47500,64600,659,63625,76233,395,32928,43913
99686,1523,93237,94048,968,98415,103060,555,45893,73321
99685,1045,91652,110757,624,100000,114937,421,81845,100923
99684,158,83750,81035,129,91250,88332,29,20750,30272
99683,172,46818,70172,82,85313,93915,90,31000,46696
99682,131,38125,61029,72,49167,75732,59,36042,35029
99681,63,33125,47054,60,32917,46608,3,0,0
99680,122,39250,46489,98,39444,46145,24,25000,36358
99679,61,0,46651,45,0,47509,16,0,31450
99678,260,43750,55021,212,45357,56099,48,21500,39873
99677,11,64375,66409,9,53750,57056,2,0,0
99676,557,68450,75172,322,80227,89317,235,28843,45902
99674,532,47625,63422,277,69583,79016,255,33068,45884
99672,1305,72372,94229,820,108194,125440,485,27708,40731
99671,155,50625,53174,129,46875,49857,26,0,58631
99670,17,45417,69841,7,0,96700,10,38750,44960
99669,6345,80888,106461,4363,95901,124460,1982,46316,62200
99668,25,53750,64900,17,31250,39671,8,119000,108625
99667,44,0,88705,24,0,74600,20,0,105625
99666,28,31667,31043,26,26875,27565,2,0,0
99665,18,0,27372,7,0,54514,11,0,7345
99664,1485,71875,79453,862,103633,101453,623,37182,44709
99663,153,75417,83212,99,82813,102452,54,34000,44885
99662,96,35625,43833,83,33125,45237,13,20250,21462
99661,422,85833,99423,311,111250,108801,111,42917,52858
99660,104,67500,74523,53,68750,66449,51,59583,78467
99659,67,42813,52934,62,40833,50518,5,11563,13300
99658,197,42083,53297,140,36389,52188,57,26563,30442
99657,25,0,45088,25,0,44988,0,0,0
99656,6,90833,84267,2,0,0,4,0,0
99655,186,34667,48954,145,46563,56552,41,15625,14868
99654,19203,80092,97021,13894,94568,109940,5309,40938,57357
99653,31,89688,103587,23,96875,119561,8,0,45625
99652,1151,53168,68339,738,75750,83654,413,30083,39178
99651,4,0,51275,2,0,0,2,0,0
99650,93,25750,49976,88,26000,41199,5,0,0
99649,30,45000,64540,17,73750,75406,13,42917,47085
99648,19,28750,36958,13,24063,33177,6,36250,43000
99647,12,53125,48392,4,63750,61475,8,48750,41850
99645,8726,80526,99861,6357,95988,111458,2369,41086,58415
99644,62,29167,51287,36,39167,66797,26,16250,19335
99643,90,35313,43174,57,26250,46282,33,16250,26491
99641,143,38705,52114,123,39420,57635,20,6667,9720
99640,51,56042,62698,33,44583,50991,18,61250,80289
99639,490,51765,69235,349,64219,84474,141,19250,28843
99638,6,35000,46683,3,41250,61167,3,0,0
99637,172,42500,55976,149,42875,59819,23,13194,21017
99636,148,42857,51880,122,46250,56601,26,20000,22758
99634,196,28929,33172,158,34167,34132,38,18750,27255
99633,133,69583,91162,74,87500,102715,59,57083,75473
99632,236,31339,43692,191,32396,45179,45,28125,23780
99631,86,79063,89084,52,0,91796,34,0,0
99630,92,28750,43988,61,48438,57487,31,16635,16806
99628,158,42143,54285,138,43750,53991,20,25000,27035
99627,112,47500,57262,71,55313,61370,41,36719,38222
99626,65,33250,43931,56,34500,44309,9,26875,34433
99625,26,22917,33046,14,24167,41529,12,0,23150
99624,21,84583,70305,5,0,0,16,0,59794
99622,82,55000,58560,77,54583,58053,5,0,60580
