city,state,latitude,longitude,postcode,price,bedroom_number,bathroom_number,property_type
Juneau,AK,58.2858,-134.41408,99801,450000,3,2,CONDO
Juneau,AK,58.286762,-134.41832,99801,220000,1,1,CONDO
Juneau,AK,58.397495,-134.5834,99801,329900,2,2,CONDO
Juneau,AK,58.288048,-134.42033,99801,229000,2,2,CONDO
Juneau,AK,,,99801,181250,2,1,CONDO
Juneau,AK,58.384464,-134.65596,99801,279900,2,2,CONDO
Juneau,AK,58.38088,-134.57686,99801,205000,2,2,CONDO
Juneau,AK,58.38113,-134.58157,99801,320000,2,2,CONDO
Juneau,AK,58.38088,-134.57686,99801,205000,2,2,CONDO
Juneau,AK,58.369877,-134.5924,99801,460000,3,3,CONDO
Juneau,AK,58.29315,-134.42781,99801,220000,2,2,CONDO
Juneau,AK,58.30366,-134.42325,99801,189500,1,1,CONDO
Juneau,AK,58.30366,-134.42325,99801,174500,1,1,CONDO
Juneau,AK,58.285557,-134.41348,99801,379900,3,2,CONDO
Juneau,AK,58.38773,-134.64381,99801,589900,3,3,CONDO
Ketchikan,AK,55.358498,-131.6823,99901,165000,3,1,CONDO
Ketchikan,AK,55.358498,-131.6823,99901,165000,3,1,CONDO
Ketchikan,AK,,,99901,119000,1,2,CONDO
Ketchikan,AK,55.34969,-131.67145,99901,85000,2,1,CONDO
Ketchikan,AK,55.350777,-131.68048,99901,309000,2,2,CONDO
Ketchikan,AK,55.349667,-131.67413,99901,70000,1,1,CONDO
Fairbanks,AK,64.841385,-147.68657,99701,329000,1,2,CONDO
Fairbanks,AK,64.8214,-147.73372,99701,149900,2,2,CONDO
Fairbanks,AK,64.854095,-147.75545,99709,129900,2,2,CONDO
Sitka,AK,57.04989,-135.3064,99835,239000,3,2,CONDO
Fairbanks,AK,64.84543,-147.86389,99709,225000,3,2,CONDO
Fairbanks,AK,64.84182,-147.8717,99709,1,2,1,CONDO
Wasilla,AK,61.586685,-149.44766,99654,140000,2,1,CONDO
Wasilla,AK,61.579014,-149.42755,99654,205000,3,2,CONDO
Wasilla,AK,61.579014,-149.42755,99654,235000,3,2,CONDO
Wasilla,AK,61.571148,-149.40866,99654,160000,2,1,CONDO
Valdez,AK,60.77254,-148.6855,99686,64500,3,1,CONDO
Eagle River,AK,61.331596,-149.56317,99577,310000,3,2,CONDO
Palmer,AK,61.588257,-149.10396,99645,225000,1,1,CONDO
Eagle River,AK,61.33092,-149.56358,99577,345000,3,3,CONDO
Wasilla,AK,61.586685,-149.44766,99654,128000,2,1,CONDO
Eagle River,AK,61.30037,-149.49196,99577,415000,4,4,CONDO
Eagle River,AK,61.32674,-149.57861,99577,274900,3,3,CONDO
Soldotna,AK,60.463234,-151.19035,99669,216900,2,1,CONDO
Wasilla,AK,61.614475,-149.5043,99654,195000,3,2,CONDO
Eagle River,AK,61.30092,-149.50879,99577,340000,3,2,CONDO
Eagle River,AK,61.331844,-149.5637,99577,271500,3,2,CONDO
Eagle River,AK,61.326828,-149.57849,99577,300000,2,3,CONDO
Eagle River,AK,61.300945,-149.50879,99577,355000,3,2,CONDO
Eagle River,AK,61.320084,-149.56805,99577,315000,4,3,CONDO
